[BrainBitSignalData(PackNum=46, Marker=0, O1=0.14389852895596406, O2=0.1633065827432468, T3=0.12405407338530863, T4=0.18341005650525713), BrainBitSignalData(PackNum=46, Marker=0, O1=0.1437852323391269, O2=0.16319023436568678, T3=0.12394649881982692, T4=0.18324373554585988)]
[BrainBitSignalData(PackNum=47, Marker=0, O1=0.14355863910545263, O2=0.16288772858403072, T3=0.12375652671482727, T4=0.18300874997019764), BrainBitSignalData(PackNum=47, Marker=0, O1=0.14337210023126626, O2=0.1626905085473142, T3=0.12361652719166488, T4=0.18276804234318003)]
[BrainBitSignalData(PackNum=48, Marker=0, O1=0.1432355339389171, O2=0.16255928283623014, T3=0.12347652766850249, T4=0.18256281143456596), BrainBitSignalData(PackNum=48, Marker=0, O1=0.14314970316858594, O2=0.1624517082707484, T3=0.12336628281238825, T4=0.18239076842381327)]
[BrainBitSignalData(PackNum=49, Marker=0, O1=0.14288763321650813, O2=0.16208015640273704, T3=0.12318470304937654, T4=0.18212984288200654), BrainBitSignalData(PackNum=49, Marker=0, O1=0.14277281071930956, O2=0.16199165534177337, T3=0.12307102496244904, T4=0.1819436854779105)]
[BrainBitSignalData(PackNum=50, Marker=0, O1=0.142653792051117, O2=0.16186767756240614, T3=0.12294742865317217, T4=0.18175256896263978), BrainBitSignalData(PackNum=50, Marker=0, O1=0.14254736189590636, O2=0.1617532365352979, T3=0.122838328207329, T4=0.18157823713134494)]
[BrainBitSignalData(PackNum=51, Marker=0, O1=0.1422856734139189, O2=0.16141296521469614, T3=0.12264721169205828, T4=0.1813279927520683), BrainBitSignalData(PackNum=51, Marker=0, O1=0.14221624585747325, O2=0.16133476384617218, T3=0.12253582242567294, T4=0.1811910449896288)]
[BrainBitSignalData(PackNum=52, Marker=0, O1=0.14210218630045537, O2=0.16122261163960613, T3=0.12243244403118518, T4=0.18102930167131584), BrainBitSignalData(PackNum=52, Marker=0, O1=0.1419408244522328, O2=0.16102310278234747, T3=0.12230999213217938, T4=0.18081720430107528)]
[BrainBitSignalData(PackNum=53, Marker=0, O1=0.1417638223303054, O2=0.16081253129246836, T3=0.12216999260901701, T4=0.18058069284505163), BrainBitSignalData(PackNum=53, Marker=0, O1=0.14164022602102855, O2=0.16068626469255895, T3=0.122063180983716, T4=0.1804536633049615)]
[BrainBitSignalData(PackNum=54, Marker=0, O1=0.1415639320029564, O2=0.16061721860620365, T3=0.1219651431704933, T4=0.18033464463676896), BrainBitSignalData(PackNum=54, Marker=0, O1=0.14137205254750496, O2=0.16034904513268006, T3=0.12183162863886704, T4=0.1801252175571609)]
[BrainBitSignalData(PackNum=55, Marker=0, O1=0.14124502300741482, O2=0.16018577593400568, T3=0.12173320935555397, T4=0.17993333810170947), BrainBitSignalData(PackNum=55, Marker=0, O1=0.14114889254464394, O2=0.16009155282168658, T3=0.12164814152540353, T4=0.17978494623655913)]
