[BrainBitSignalData(PackNum=39, Marker=0, O1=0.3658523233912691, O2=0.27929828576878146, T3=0.18082407076270177, T4=0.2963091815082374), BrainBitSignalData(PackNum=39, Marker=0, O1=0.36396480938416426, O2=0.27821910688315094, T3=0.17995126719595642, T4=0.2952059700069142)]
[BrainBitSignalData(PackNum=40, Marker=0, O1=0.36217151848937845, O2=0.2772459766826407, T3=0.17909944448418091, T4=0.294214910712157), BrainBitSignalData(PackNum=40, Marker=0, O1=0.36041637460362874, O2=0.2762820017642992, T3=0.17823961090050783, T4=0.29324025463128534)]
[BrainBitSignalData(PackNum=41, Marker=0, O1=0.3586551271964333, O2=0.2752661469136686, T3=0.17740304699234677, T4=0.29220952244713067), BrainBitSignalData(PackNum=41, Marker=0, O1=0.35695949264477983, O2=0.27429835729442337, T3=0.1766042486231314, T4=0.29123105166535534)]
[BrainBitSignalData(PackNum=42, Marker=0, O1=0.355290942469542, O2=0.27336833321412396, T3=0.17578408792885583, T4=0.29028233555062827), BrainBitSignalData(PackNum=42, Marker=0, O1=0.35366626135469564, O2=0.27247454879240873, T3=0.1749936819016284, T4=0.2893687146842143)]
[BrainBitSignalData(PackNum=43, Marker=0, O1=0.3520308990773192, O2=0.27153117325894666, T3=0.17424905228524426, T4=0.28839482154352336), BrainBitSignalData(PackNum=43, Marker=0, O1=0.3504786972796414, O2=0.27066599909400857, T3=0.1735017523782276, T4=0.28751095534415755)]
[BrainBitSignalData(PackNum=44, Marker=0, O1=0.34893412488377085, O2=0.26980921727105833, T3=0.17275903011229526, T4=0.2866236559139785), BrainBitSignalData(PackNum=44, Marker=0, O1=0.34742655508666526, O2=0.2689764680638009, T3=0.17203423694060987, T4=0.28578289583482347)]
[BrainBitSignalData(PackNum=45, Marker=0, O1=0.34591211882793316, O2=0.2680910759840736, T3=0.17132317669217748, T4=0.2848872040626565), BrainBitSignalData(PackNum=45, Marker=0, O1=0.3444625324845624, O2=0.26730601053811126, T3=0.170620508785733, T4=0.28408764275326037)]
[BrainBitSignalData(PackNum=46, Marker=0, O1=0.34302400877381206, O2=0.2665091195193477, T3=0.16992775910163793, T4=0.2832709152897981), BrainBitSignalData(PackNum=46, Marker=0, O1=0.3416095176787545, O2=0.265705743509048, T3=0.16925179410151872, T4=0.2824595284076008)]
[BrainBitSignalData(PackNum=47, Marker=0, O1=0.34024347328517274, O2=0.2649225854135374, T3=0.1685933767255561, T4=0.2816538635767589), BrainBitSignalData(PackNum=47, Marker=0, O1=0.33890222444746443, O2=0.26417261521588825, T3=0.16795975490546694, T4=0.28088443840450134)]
[BrainBitSignalData(PackNum=48, Marker=0, O1=0.3375853896955392, O2=0.2634398111723053, T3=0.16731774074338984, T4=0.2801432420189305), BrainBitSignalData(PackNum=48, Marker=0, O1=0.3362525331998188, O2=0.2626700045299573, T3=0.16666390100851156, T4=0.27935512481224517)]
[BrainBitSignalData(PackNum=49, Marker=0, O1=0.33497956750828506, O2=0.26194940752926593, T3=0.16604210476122358, T4=0.2786089693154996), BrainBitSignalData(PackNum=49, Marker=0, O1=0.3337317788427151, O2=0.2612562763750805, T3=0.16545044465107409, T4=0.2778898981951696)]
[BrainBitSignalData(PackNum=50, Marker=0, O1=0.3325118374937415, O2=0.26059862193929856, T3=0.1648393295663162, T4=0.2772444508022793), BrainBitSignalData(PackNum=50, Marker=0, O1=0.3312377273919367, O2=0.25984445557065544, T3=0.16425987649905824, T4=0.27645404477505187)]
[BrainBitSignalData(PackNum=51, Marker=0, O1=0.33006051069308345, O2=0.25917879026297597, T3=0.16368996018405932, T4=0.27577464654411943), BrainBitSignalData(PackNum=51, Marker=0, O1=0.32889550103712184, O2=0.25853486875044707, T3=0.163114321817705, T4=0.2751299620914098)]
[BrainBitSignalData(PackNum=52, Marker=0, O1=0.32774536871468424, O2=0.25789819516963497, T3=0.1625402093317121, T4=0.27448031852752547), BrainBitSignalData(PackNum=52, Marker=0, O1=0.32659714374269844, O2=0.2572172710583411, T3=0.1619981403333095, T4=0.27378108385189426)]
[BrainBitSignalData(PackNum=53, Marker=0, O1=0.32549278783110414, O2=0.25660920773430607, T3=0.16146026750590087, T4=0.27315585437379303), BrainBitSignalData(PackNum=53, Marker=0, O1=0.3243819469279737, O2=0.25600534058126506, T3=0.1609246834990344, T4=0.2725321507760532)]
[BrainBitSignalData(PackNum=54, Marker=0, O1=0.3232833130677348, O2=0.255382399923706, T3=0.16039863624442696, T4=0.27188479603271104), BrainBitSignalData(PackNum=54, Marker=0, O1=0.32222625944734523, O2=0.25476212955677946, T3=0.15987754810099422, T4=0.27124697804162795)]
[BrainBitSignalData(PackNum=55, Marker=0, O1=0.3211966716734616, O2=0.25418992442123833, T3=0.15937438905180842, T4=0.27067324702572537), BrainBitSignalData(PackNum=55, Marker=0, O1=0.32018043535274066, O2=0.2536154304651551, T3=0.1588800038147009, T4=0.27010333071072645)]
[BrainBitSignalData(PackNum=56, Marker=0, O1=0.31915084757885703, O2=0.25299058245714423, T3=0.1583924850392199, T4=0.269478864172806), BrainBitSignalData(PackNum=56, Marker=0, O1=0.3181651288653649, O2=0.2524244808430489, T3=0.15791908065708224, T4=0.2689081849176263)]
[BrainBitSignalData(PackNum=57, Marker=0, O1=0.31718970984431255, O2=0.2518717306821162, T3=0.15745139832629998, T4=0.26835200152588035), BrainBitSignalData(PackNum=57, Marker=0, O1=0.31623832343895286, O2=0.2513426316667859, T3=0.15696922013208403, T4=0.2678152731087428)]
[BrainBitSignalData(PackNum=58, Marker=0, O1=0.3152590897169969, O2=0.2507559306678111, T3=0.15652518894690415, T4=0.2672056839043464), BrainBitSignalData(PackNum=58, Marker=0, O1=0.3143546241327516, O2=0.25025620484943856, T3=0.1560922203943447, T4=0.2666868845814558)]
[BrainBitSignalData(PackNum=59, Marker=0, O1=0.31344176620651837, O2=0.24975724197124669, T3=0.15563750804663473, T4=0.2661722814295592), BrainBitSignalData(PackNum=59, Marker=0, O1=0.31253691915218274, O2=0.2492540829220609, T3=0.15519538421190665, T4=0.2656672150299216)]
[BrainBitSignalData(PackNum=60, Marker=0, O1=0.3116263500464917, O2=0.24871926185537516, T3=0.1547799632835038, T4=0.2651003504756455), BrainBitSignalData(PackNum=60, Marker=0, O1=0.31077643468516797, O2=0.24826340509739409, T3=0.1543592017738359, T4=0.26463114226450185)]
